,29@2,29@4,29@7,29@9,30@3,30@4,Average
0,17.67671,18.136797,12.806733,16.914583,17.996168,26.859776,18.39846
1,8.353457,16.622925,14.325539,21.7631,19.296217,17.51732,16.313093
2,11.918291,18.27508,16.661592,19.39154,19.675917,8.114334,15.672793
3,26.082426,15.674733,15.095205,16.410248,12.20955,23.914583,18.231123
4,11.430599,11.210349,8.966163,6.3851953,11.410558,10.908923,10.051965
5,15.213329,20.499184,21.046085,21.293495,24.512493,27.445612,21.668367
6,23.439455,17.646034,17.294924,12.019422,8.442276,10.45091,14.882171
7,24.691708,4.9367166,8.276159,5.562332,8.60363,4.5451164,9.435944
8,9.715998,5.716881,5.415802,8.646281,11.687028,19.804407,10.164399
9,11.666586,4.5818567,8.424128,3.9520276,0.7659105,9.831984,6.5370827
10,10.586514,9.320922,4.5105867,3.792622,6.0137,7.780626,7.000828
11,30.330807,16.11037,15.631628,18.370209,15.393202,22.385029,19.703543
12,17.162403,7.724451,12.453691,11.640234,12.670504,15.364588,12.8359785
13,19.534931,12.433599,14.864237,13.333584,17.314505,25.638218,17.186514
14,20.19255,22.099966,21.275259,14.083721,12.613203,11.075115,16.88997
15,26.09016,14.700295,14.275035,11.055112,11.929308,10.648502,14.783069
16,4.673593,0.3207165,1.520451,7.5918374,10.4419365,19.024965,7.2622504
17,6.1160617,1.2124543,1.7680044,8.156114,10.893007,9.794887,6.3234215
18,22.509354,20.071648,14.936186,12.840728,15.442112,8.020344,15.636729
19,35.761967,30.459358,29.271595,34.50956,34.234875,42.278442,34.4193
20,16.283249,8.651204,11.299383,5.967627,9.532936,6.3939795,9.688063
21,20.407688,22.814526,22.934336,23.614124,24.242884,26.050806,23.34406
22,7.784991,2.6346278,4.259923,11.121459,21.382072,19.067192,11.041711
23,11.838057,2.9011834,8.081236,7.224521,16.528702,18.435398,10.834849
24,4.918927,10.586539,7.2916255,13.053193,19.978132,24.882908,13.451886
25,21.926722,12.079156,8.264985,7.579618,12.628168,7.802499,11.713524
26,11.549603,13.145078,7.426715,4.737218,7.2425237,9.100963,8.867017
27,35.241497,23.525534,20.411093,23.736776,17.005646,21.41633,23.556147
28,11.835956,6.6041594,6.5279274,4.2577314,9.584782,8.043969,7.8090873
29,16.6041,11.761434,10.677834,6.6047244,14.052153,21.99864,13.616481
30,3.7433965,3.1400616,3.5257733,4.04732,8.667961,8.581356,5.2843113
31,20.808098,12.402404,11.87408,12.169668,11.912398,9.977359,13.190667
32,7.5015035,4.2688565,5.432375,10.329009,11.817284,22.336266,10.280883
33,5.1659327,7.994579,10.194289,16.35717,11.410283,16.189854,11.218684
34,4.436423,2.1565633,6.6734166,10.16527,10.06234,9.440817,7.155805
35,14.916077,15.194372,14.297894,16.73039,22.878681,30.991198,19.1681
36,7.818424,10.65864,8.607329,12.793308,15.078372,19.565138,12.420201
37,20.81445,14.370314,13.175221,6.657935,12.469269,15.692088,13.863212
38,13.757364,13.161395,12.824582,10.535258,6.673576,9.349989,11.050361
39,27.361824,9.349023,7.965114,5.087309,5.712871,11.34797,11.137352
40,8.1257,11.8730755,9.990996,13.555166,16.396912,11.876572,11.969737
41,10.805894,3.313901,3.512401,16.326593,22.811916,24.01142,13.463688
42,19.627056,14.777096,11.009185,9.755899,8.846652,5.821564,11.639575
43,17.276558,16.217657,13.82394,15.09,8.32078,12.165281,13.815703
44,28.631649,24.366388,20.689333,19.023373,17.42745,15.07437,20.868761
45,11.677024,8.951741,9.8034525,11.191673,13.96453,17.980778,12.261533
46,10.257596,8.467128,7.2883325,14.32132,26.529697,28.840172,15.950707
47,18.04976,2.5315034,12.553329,11.797967,6.27006,10.15819,10.226802
48,9.165037,12.390725,9.709721,11.087975,14.562205,20.757273,12.945489
49,3.491159,3.7787175,5.9232225,1.0199643,6.0097246,4.9816356,4.2007375
